provider,screener_name,scan_id,provider_id,status,stocks_count,error_message
ETnow,Cash Cows Companies for which ‘Cash’ is never a problem,73,73,SUCCESS,7,
ETnow,Must Have Bluechips Largecap quality stocks with decent growth and valuations,75,75,SUCCESS,15,
ETnow,Stable Compounders Companies that never looked back once they start growing,76,76,SUCCESS,17,
ETnow,Dividend ChampionsHigh Dividend yield stocks paying dividend on a consistent basis,77,77,SUCCESS,1,
ETnow,Zero Debt Quality stocks with virtually zero debt,79,79,SUCCESS,50,
ETnow,Leaders of TomorrowCompanies that have the potential to be industry leaders in large sectors and markets,81,81,SUCCESS,62,
ETnow,International Vacation BasketFulfill your travel goals with these cash flow generating stocks with a positive dividend history,82,82,SUCCESS,0,
ETnow,Economic MoatCompanies having strong pricing power and a competitive edge over their peers,83,83,SUCCESS,4,
ETnow,Magic FormulaStocks fulfilling the principles of value investing laid down by Joel Greenblatt.,85,85,SUCCESS,10,
ETnow,Debt Trap Stocks with increasing high debt and slow business operations,86,86,SUCCESS,1,
ETnow,Altman Z score - Solvent Stocks which are highly solvent as per famous Z-Score made by Edward Altman,88,88,SUCCESS,250,
ETnow,The Naked Trader Low-debt companies showing healthy growth. Criteria set by top trader Robbie Burns,89,89,SUCCESS,24,
ETnow,International Education Basket List of stocks having the potential to generate long wealth to ensure your child's studies at one of the top universities in the world,90,90,SUCCESS,6,
ETnow,Buy on DipsQuality stocks one should accumulate on significant price falls,91,91,SUCCESS,10,
ETnow,Capital CompoundersThis screener has the potential to provide you high compounded returns in the long run,92,92,SUCCESS,174,
ETnow,"Coffecan basket The ""Buy & Forget"" approach of investing. Suitable for long term",93,93,SUCCESS,33,
ETnow,Nifty Probables List of companies which have potential to enter into Nifty50 Index in the next 5-10 years,94,94,SUCCESS,24,
ETnow,Top Value PicksSet of top value picks available at decent valuation and an effecient management,99,99,SUCCESS,1,
ETnow,Cant Miss DealsCollection of few undervalued companies that are fundamentally very strong,100,100,SUCCESS,19,
ETnow,Attractive Small CapsSmall cap stocks available at attractive valuations with strong market hold,101,101,SUCCESS,74,
ETnow,High Margin of SafetyQuality stocks with high margin of safety,102,102,SUCCESS,11,
ETnow,Value BargainCompanies whose stocks are available at throwaway prices,103,103,SUCCESS,29,
ETnow,Long Term - ValueLong Term Value Investing Oriented Multicap Portfolio Recommendations,104,104,SUCCESS,147,
ETnow,Pay Less - Get MoreHarness the power of AI to buy good companies that are temporarily undervalued,105,105,SUCCESS,44,
ETnow,Growth Pioneers Multicap portfolio comprising of mid and small caps that are likely to graduate into largecaps,106,106,SUCCESS,19,
ETnow,Safe Growth CompaniesStability of largecaps combined with growth potential of midcaps,107,107,SUCCESS,39,
ETnow,SmallCap StarsBest small cap stocks with promising growth,108,108,SUCCESS,42,
ETnow,Mid Cap Growth Stocks Quality midcap stocks with impressive growth trajectory,109,109,SUCCESS,37,
ETnow,Nanocap ChampsNanocap companies with market value under 500 crores having potential to grow their earnings and market share,111,111,SUCCESS,102,
ETnow,Emerging Opportunities List of stocks which have the potential to deliver big returns in the long run,112,112,SUCCESS,51,
ETnow,Rapid Business CycleCompanies with low inventory days and high asset turnover,113,113,SUCCESS,77,
ETnow,Profit Spinners Companies that disproportionately generate profit with rising sales,114,114,SUCCESS,250,
ETnow,Turnaround Champs Stocks which have shown promising results after prolonged time of losses,115,115,SUCCESS,66,
ETnow,Stellar Earnings Growth List of stocks which have grown immensly on a QoQ basis,117,117,SUCCESS,140,
ETnow,Straight Flush Quality stocks showing consistent earnings growth,118,118,SUCCESS,75,
ETnow,Negative Turnaround Companies that took a solid U-turn after strong phase of earnings,119,119,SUCCESS,55,
ETnow,Margin Kings Companies with high margins and impressive bottom line,144,144,SUCCESS,125,
ETnow,"Warren Buffet ScreenerStock based on ace investor ""Warren buffet's"" investing principals",173,173,SUCCESS,7,
ETnow,"Pitroski F-scoreFundamentally sound stocks based on criteria provided by ""Josef Pitroski""",177,177,SUCCESS,12,
ETnow,"Ben Graham Stocks Undervalued stocks meeting the criteria laid down by Father of Investing - ""Benjamin Graham""",178,178,SUCCESS,208,
ETnow,Altman Z-score - Insolvent Stocks facing solvency problems as per famous Z-Score made by Edward Altman,180,180,SUCCESS,73,
ETnow,The Trillionare Club List of curated stocks having reached the INR 1 trillion mark and still going,183,183,SUCCESS,10,
ETnow,Timeless Classics Established companies that have stood the test of time,184,184,SUCCESS,31,
ETnow,Too Big to Fail Collapse of these stocks will lead to a turmoil in the banking system and economy of India.,185,185,SUCCESS,11,
ETnow,Safe Haven Low beta undervalued stocks to help protect against market volatility,186,186,SUCCESS,15,
ETnow,Double Whammy Falling sales with declining margins,187,187,SUCCESS,13,
ETnow,Growth Bubble Disguised as attractive but actually overvalued stocks,188,188,SUCCESS,17,
ETnow,Value TrapBeware of these sub-standard undervalued stocks,189,189,SUCCESS,23,
ETnow,Overvalued & Ready to FallStocks with high valuation multiples and weak earnings growth,190,190,SUCCESS,2,
ETnow,Auto Pack - Full ThrottleCompanies to efficiently track and invest in the auto sector,191,191,SUCCESS,3,
ETnow,FMCG TrackerCompanies to efficiently track and invest in the FMCG sector,192,192,SUCCESS,3,
ETnow,Banking TrackerCompanies to efficiently track and invest in the banking sector,193,193,SUCCESS,10,
ETnow,Double BonanzaRising sales with increasing margins,194,194,SUCCESS,11,
ETnow,Potential Multibaggers List of stocks which have all the necessary ingredients to become the next Multibaggers,195,195,SUCCESS,2,
ETnow,"To The Moon List of stocks where the growth is such, that reaching to the moon might be a reality",196,196,SUCCESS,39,
ETnow,Undervalued Bluechips Bluest of bluechips available at discounted prices,198,198,SUCCESS,19,
ETnow,Quality Stocks at DiscountStocks with strong fundamentals & lower valuations,199,199,SUCCESS,1,
ETnow,Growth at Reasonable PriceThis strategy aims to invest in a basket of growth stocks across market cap at reasonable prices,200,200,SUCCESS,37,
ETnow,10X Aimers Micro and smallcap stocks having the potential to provide multifold returns,201,201,SUCCESS,0,
ETnow,IT Tracker Companies to efficiently track and invest in the IT sector,204,204,SUCCESS,16,
ETnow,Pharma TrackerCompanies to efficiently track and invest in the pharma sector,205,205,SUCCESS,46,
