source,screener_id,screener_name,category,subcategory,signal_bias,investment_horizon,confidence
"trendlyne","15-min-adx-bearish-divergence","15 min ADX Bearish Divergence","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","15-min-adx-bullish-divergence","15 min ADX Bullish Divergence","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","15-min-adx-mild-trending-stocks","15 min ADX Mild Trending Stocks","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","15-min-adx-strong-trending-stocks","15 min ADX Strong Trending Stocks","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","15-min-adx-trending-stocks","15 min ADX Trending Stocks","technical_trend","trend_indicator","neutral","intraday","0.74"
"trendlyne","15-min-bollinger-band-breakdown","15 min Bollinger Band Breakdown","technical_breakout","price_breakout","bearish","intraday","0.74"
"trendlyne","15-min-bollinger-band-breakout","15 min Bollinger Band Breakout","technical_breakout","price_breakout","bullish","intraday","0.74"
"trendlyne","15-min-cci-bearish","15 min CCI Bearish","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","15-min-cci-bullish","15 min CCI Bullish","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","15-min-cci-overbought","15 min CCI Overbought","technical_reversal","oscillator_reversal","bearish","intraday","0.74"
"trendlyne","15-min-cci-oversold","15 min CCI Oversold","technical_reversal","oscillator_reversal","bullish","intraday","0.74"
"trendlyne","15-min-cci-trending-down","15 min CCI Trending Down","technical_trend","trend_indicator","bearish","intraday","0.74"
"trendlyne","15-min-cci-trending-up","15 min CCI Trending Up","technical_trend","trend_indicator","bullish","intraday","0.74"
"trendlyne","15-min-cci-crossed-above-100","15 min CCI crossed above 100","technical_reversal","oscillator_signal","bullish","intraday","0.74"
"trendlyne","15-min-cci-crossed-below--100","15 min CCI crossed below -100","technical_reversal","oscillator_signal","bearish","intraday","0.74"
"trendlyne","15-min-macd-crossover-above-signal-line","15 min MACD Crossover Above Signal Line","technical_trend","trend_indicator","bullish","intraday","0.74"
